名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
松浦 鉄二,まつうら てつじ,matsuura_tetsuji@example.com,男,25,1994/5/14,既婚,A型,兵庫県,28,055-115-3469,080-4247-5227,ドコモ,奥ルー・ルー攻め派
小寺 友以乃,こでら ゆいの,kodera_yuino@example.com,女,83,1936/8/15,既婚,O型,山形県,06,020-766-9642,090-2544-6532,ドコモ,ぶっかけ・ルー攻め派
江川 染五郎,えがわ そめごろう,egawa_somegorou@example.com,男,71,1948/11/6,既婚,B型,福井県,18,079-548-5251,090-7506- 531,au,奥ルー・ルー攻め派
上野 雅彦,うえの まさひこ,ueno_masahiko@example.com,男,13,2006/8/9,未婚,A型,北海道,01,018-701-5352,080-4056-5412,ドコモ,左ルー・せき止め派
三枝 薫,さんし かおる,sannshi_kaoru@example.com,男,65,1955/1/9,既婚,O型,東京都,13,081-940-6711,080-8879-4375,ドコモ,ぶっかけ・ルー攻め派
沢村 隆博,さわむら たかひろ,sawamura_takahiro@example.com,男,44,1975/10/19,既婚,A型,茨城県,08,010-137-2314,080-8993-5120,au,左ルー・せき止め派
長崎 雅功,ながさき まさとし,nagasaki_masatoshi@example.com,男,72,1947/10/23,既婚,O型,埼玉県,11,050-114-7985,080-6965-1706,au,奥ルー・別口派
野呂 ひろみ,のろ ひろみ,noro_hiromi@example.com,女,82,1937/7/9,既婚,O型,埼玉県,11,027- 60-3992,090-6986-7401,ドコモ,手前ルー・ルー攻め派
高崎 雅彦,たかさき まさひこ,takasaki_masahiko@example.com,男,21,1998/11/8,未婚,AB型,埼玉県,11,050-526-3750,090-6757-4010,ドコモ,ぶっかけ・混ぜ混ぜ派
末永 由美子,すえなが ゆみこ,suenaga_yumiko@example.com,女,83,1936/3/31,既婚,A型,静岡県,22,042- 75-3364,090-6409-2292,ドコモ,左ルー・ルー攻め派
内村 亮介,うちむら りょうすけ,uchimura_ryousuke@example.com,男,34,1985/3/27,既婚,O型,千葉県,12,043-327-3475,090-9429-2996,au,ぶっかけ・別口派
笹原 由宇,ささはら ゆう,sasahara_yuu@example.com,女,66,1953/10/24,既婚,B型,秋田県,05,025-842-6757,080-8049-3062,ドコモ,ぶっかけ・せき止め派
福永 ひとみ,ふくなが ひとみ,fukunaga_hitomi@example.com,女,14,2005/8/28,未婚,AB型,大阪府,27,013-556-8721,080-4790- 866,ドコモ,右ルー・ルー攻め派
江原 淳,えはら あつし,ehara_atsushi@example.com,男,40,1979/6/20,既婚,O型,兵庫県,28,076-831-6685,080-9020-5117,au,ぶっかけ・混ぜ混ぜ派
野村 綾女,のむら あやめ,nomura_ayame@example.com,女,42,1977/5/4,既婚,A型,宮城県,04,060-347-3178,080-2791- 264,ドコモ,別盛り・ナン派
泉 昴,いずみ すばる,izumi_subaru@example.com,男,29,1990/8/6,既婚,B型,埼玉県,11,049-147-6749,080-6850-7402,ツーカー,右ルー・せき止め派
米山 慶太,よねやま けいた,yoneyama_keita@example.com,男,38,1981/7/3,既婚,AB型,静岡県,22,015-699-3148,080-6713-7669,au,手前ルー・ナン派
山崎 有起哉,やまざき ゆきや,yamazaki_yukiya@example.com,男,20,1999/5/1,未婚,O型,栃木県,09,078-186-6009,080- 502-8805,au,奥ルー・混ぜ混ぜ派
長田 しほり,ながた しほり,nagata_shihori@example.com,女,19,2000/7/21,未婚,O型,北海道,01,020-529- 668,090- 585-5467,ドコモ,ぶっかけ・混ぜ混ぜ派
吉原 耕司,よしわら こうじ,yoshiwara_kouji@example.com,男,75,1944/12/23,既婚,A型,兵庫県,28,023-630-2853,080-3610-1205,ドコモ,左ルー・せき止め派
藤村 大,ふじむら まさる,fujimura_masaru@example.com,男,45,1974/9/28,既婚,A型,高知県,39,091-402-8351,090-2968-1391,ソフトバンク,奥ルー・別口派
大倉 莉央,おおくら りお,ookura_rio@example.com,女,76,1943/6/5,既婚,A型,佐賀県,41,0 8-740-4986,080-4147-1124,ドコモ,手前ルー・せき止め派
大森 信吾,おおもり しんご,oomori_shingo@example.com,男,74,1945/12/8,既婚,O型,静岡県,22,087-526-5467,090- 102-8262,au,ぶっかけ・ナン派
石垣 由樹,いしがき ゆき,ishigaki_yuki@example.com,女,45,1974/10/4,既婚,O型,栃木県,09,081-407-8721,090-9153-1785,ソフトバンク,右ルー・ルー攻め派
本山 由宇,ほんやま ゆう,honnyama_yuu@example.com,女,53,1966/4/26,既婚,A型,京都府,26,0 3-557-6871,090-5705-6189,au,右ルー・ルー攻め派
井手 広之,いで ひろゆき,ide_hiroyuki@example.com,男,81,1938/9/18,既婚,B型,山梨県,19,0 3-476-8636,080-3468- 284,au,右ルー・ルー攻め派
永野 慶太,ながの けいた,nagano_keita@example.com,男,75,1944/2/21,既婚,O型,埼玉県,11,011-944-7983,080- 488-2904,ドコモ,左ルー・ルー攻め派
鈴木 一哉,すずき かずや,suzuki_kazuya@example.com,男,51,1968/4/29,未婚,O型,千葉県,12,089-878-2033,090-3633- 785,ドコモ,左ルー・混ぜ混ぜ派
布川 友也,ふかわ ともや,fukawa_tomoya@example.com,男,61,1958/4/22,既婚,B型,埼玉県,11,068-759-5006,080-2990-8501,ドコモ,左ルー・混ぜ混ぜ派
岸部 陽介,きしべ ようすけ,kishibe_yousuke@example.com,男,78,1941/6/17,既婚,O型,北海道,01,090-281-9249,090-6799-7828,ドコモ,左ルー・せき止め派
五十嵐 長利,いがらし ながとし,igarashi_nagatoshi@example.com,男,17,2003/1/29,未婚,B型,東京都,13,074-899-7715,090-8296-1579,au,ぶっかけ・ルー攻め派
浜野 菜々美,はまの ななみ,hamano_nanami@example.com,女,79,1940/4/14,既婚,A型,奈良県,29,074-270-9554,090-8301-8582,au,別盛り・別口派
三浦 美紀,みうら みき,miura_miki@example.com,女,64,1955/6/3,既婚,A型,静岡県,22,058-933-5996,080-7909-4181,ソフトバンク,右ルー・別口派
大場 涼,おおば りょう,ooba_ryou@example.com,女,47,1972/3/21,既婚,O型,秋田県,05,033-112-5549,080-6844-1889,ドコモ,右ルー・せき止め派
河原 花,かわはら はな,kawahara_hana@example.com,女,34,1985/9/29,既婚,A型,福岡県,40,029-103-9032,090-9717-1187,au,左ルー・せき止め派
神田 敦,かんだ あつし,kannda_atsushi@example.com,男,77,1942/12/21,既婚,O型,京都府,26,066-687-6881,080-6451-2142,ソフトバンク,ぶっかけ・混ぜ混ぜ派
益岡 雅彦,ますおか まさひこ,masuoka_masahiko@example.com,男,64,1955/5/3,既婚,A型,茨城県,08,0  -530-5327,080-4020-6144,ドコモ,手前ルー・せき止め派
宮沢 有起哉,みやざわ ゆきや,miyazawa_yukiya@example.com,男,23,1996/5/9,未婚,A型,山形県,06,050-924-7419,080-3555-4714,ドコモ,奥ルー・混ぜ混ぜ派
東 知世,ひがし ちせ,higashi_chise@example.com,女,72,1947/7/4,既婚,B型,大阪府,27,0  - 58-4669,090-7777- 761,au,手前ルー・混ぜ混ぜ派
鶴岡 真希,つるおか まき,tsuruoka_maki@example.com,女,12,2008/2/6,未婚,O型,埼玉県,11,064-223- 562,090-4949-5136,ドコモ,左ルー・せき止め派
伊崎 隆之介,いさき りゅうのすけ,isaki_ryuunosuke@example.com,男,82,1937/7/6,既婚,B型,岡山県,33,065-616-1423,080- 765-3261,ドコモ,ぶっかけ・せき止め派
脇田 妃里,わきた ゆり,wakita_yuri@example.com,女,11,2008/6/26,未婚,O型,大阪府,27,042-862-1361,090-6939-1616,ドコモ,ぶっかけ・混ぜ混ぜ派
安藤 瞬,あんどう しゅん,anndou_shun@example.com,女,16,2003/10/7,未婚,A型,岡山県,33,032-444-9959,080-9746-6637,ドコモ,ぶっかけ・混ぜ混ぜ派
富田 美咲,とみた みさき,tomita_misaki@example.com,女,84,1935/7/7,既婚,O型,神奈川県,14,053- 40-1445,090- 245-4878,ドコモ,奥ルー・別口派
小池 瞳,こいけ ひとみ,koike_hitomi@example.com,女,68,1951/2/25,既婚,O型,大阪府,27,075- 15-8520,080-5528-4055,ドコモ,左ルー・混ぜ混ぜ派
宮田 三省,みやた さんせい,miyata_sansei@example.com,男,37,1982/7/11,既婚,O型,沖縄県,47,0 6-876-4277,090-5389-5313,ドコモ,ぶっかけ・ルー攻め派
岡本 翔,おかもと しょう,okamoto_shou@example.com,男,56,1963/4/19,既婚,O型,神奈川県,14,097-770-6648,090-4208-8782,ドコモ,手前ルー・ルー攻め派
菅沼 真吾,すがぬま しんご,suganuma_shingo@example.com,男,15,2004/5/12,未婚,B型,神奈川県,14,070-395-8041,090-7083-4445,ドコモ,ぶっかけ・せき止め派
秋元 遥,あきもと はるか,akimoto_haruka@example.com,女,58,1961/11/8,既婚,B型,東京都,13,052-112-4366,080-3074-1369,au,ぶっかけ・別口派
中村 夏希,なかむら なつき,nakamura_natsuki@example.com,女,78,1941/10/9,既婚,B型,千葉県,12,059-913-5919,090-7176- 130,ドコモ,右ルー・ルー攻め派
出口 なつみ,でぐち なつみ,deguchi_natsumi@example.com,女,78,1941/3/12,既婚,B型,長野県,20,043-692-5015,080-9724-4037,au,右ルー・せき止め派
森山 しほり,もりやま しほり,moriyama_shihori@example.com,女,35,1984/4/12,既婚,O型,静岡県,22,043-201-5704,080-2142-1967,au,別盛り・せき止め派
高畑 雅彦,たかばた まさひこ,takabata_masahiko@example.com,男,29,1990/3/20,既婚,O型,愛知県,23,098-212-5843,090-5391-9913,au,左ルー・せき止め派
矢部 寿々花,やべ すずか,yabe_suzuka@example.com,女,43,1976/9/14,既婚,AB型,香川県,37,049-494-7519,080-4396-9086,ドコモ,ぶっかけ・ルー攻め派
三船 法子,みふね のりこ,mifune_noriko@example.com,女,85,1934/11/18,既婚,B型,愛知県,23,072-250-5749,080-2380-5880,ドコモ,右ルー・ルー攻め派
田所 雅功,たどころ まさとし,tadokoro_masatoshi@example.com,男,32,1987/8/28,未婚,O型,鹿児島県,46,074-115-4556,080-2148-4684,ドコモ,左ルー・別口派
米谷 人志,よねや ひとし,yoneya_hitoshi@example.com,男,83,1936/10/26,既婚,AB型,青森県,02,021-969-6521,080-3406-8263,ドコモ,左ルー・ルー攻め派
大平 菜摘,おおひら なつみ,oohira_natsumi@example.com,女,66,1953/3/12,既婚,A型,千葉県,12,087-453-5667,090-3841-3794,ドコモ,右ルー・ルー攻め派
森下 フミヤ,もりした ふみや,morishita_fumiya@example.com,男,84,1935/6/26,既婚,B型,東京都,13,074-510-7465,090-9082-9640,ソフトバンク,ぶっかけ・せき止め派
大井 美里,おおい みり,ooi_miri@example.com,女,82,1937/9/20,既婚,A型,愛知県,23,025-929-6256,080-8582-7601,ツーカー,右ルー・別口派
田中 恵子,たなか けいこ,tanaka_keiko@example.com,女,36,1983/11/7,未婚,A型,石川県,17,060-817-4113,080-6758- 449,ドコモ,左ルー・ルー攻め派
中塚 良介,なかづか りょうすけ,nakaduka_ryousuke@example.com,男,14,2006/1/24,未婚,A型,京都府,26,057-159-4517,080- 963-2048,au,左ルー・せき止め派
鈴木 あき,すずき あき,suzuki_aki@example.com,女,28,1991/10/29,未婚,AB型,三重県,24,086-325-3518,080-7245-1217,au,左ルー・せき止め派
福沢 芳正,ふくざわ よしまさ,fukuzawa_yoshimasa@example.com,男,65,1954/6/22,既婚,A型,埼玉県,11,046-866-6417,080-1631-5276,ドコモ,左ルー・せき止め派
西沢 茜,にしざわ あかね,nishizawa_akane@example.com,女,63,1957/1/21,既婚,O型,福岡県,40,029-657-4023,080-4407-2003,ドコモ,左ルー・別口派
高尾 麻緒,たかお まお,takao_mao@example.com,女,25,1994/2/21,既婚,A型,東京都,13,0 6-967-4948,090-6852-1700,au,手前ルー・せき止め派
前田 晋也,まえだ しんや,maeda_shinya@example.com,男,18,2001/8/22,未婚,O型,北海道,01,016-843-9568,090-1003-4458,ドコモ,奥ルー・せき止め派
永野 扶樹,ながの もとき,nagano_motoki@example.com,男,23,1996/2/20,未婚,B型,岡山県,33,027-487-7262,080- 479-7967,au,ぶっかけ・混ぜ混ぜ派
横井 完爾,よこい かんじ,yokoi_kanji@example.com,男,61,1959/1/11,既婚,A型,石川県,17,061-852- 472,080- 415-7838,ドコモ,奥ルー・ルー攻め派
井村 浩正,いむら ひろまさ,imura_hiromasa@example.com,男,56,1963/12/5,既婚,B型,大阪府,27,066-130-8477,090-3597-6709,ドコモ,手前ルー・せき止め派
松井 美佐,まつい みさ,matsui_misa@example.com,女,13,2006/11/18,未婚,AB型,東京都,13,043- 36-5578,090-4740- 712,ドコモ,手前ルー・混ぜ混ぜ派
深田 扶樹,ふかだ もとき,fukada_motoki@example.com,男,23,1996/10/30,未婚,O型,埼玉県,11,021-336-  76,080-7235-7765,ソフトバンク,左ルー・ルー攻め派
砂川 太朗,すなかわ たろう,sunakawa_tarou@example.com,男,74,1945/2/22,既婚,O型,滋賀県,25,097-721-5695,090-9064-8408,ドコモ,右ルー・せき止め派
石川 瞳,いしかわ ひとみ,ishikawa_hitomi@example.com,女,77,1943/1/8,既婚,B型,神奈川県,14,049-849-4698,090-7472-3377,au,別盛り・ルー攻め派
青木 英嗣,あおき ひでつぐ,aoki_hidetsugu@example.com,男,62,1957/11/15,既婚,B型,愛知県,23,041-530-7103,080-8297-5990,ドコモ,ぶっかけ・ルー攻め派
勝地 徹,かつぢ とおる,katsudi_tohru@example.com,男,75,1944/3/24,既婚,O型,静岡県,22,036-145-2182,080-7677-6667,ドコモ,右ルー・混ぜ混ぜ派
石崎 友以乃,いしざき ゆいの,ishizaki_yuino@example.com,女,35,1984/5/11,既婚,B型,広島県,34,068-874-3467,080-7475-9403,ドコモ,ぶっかけ・せき止め派
平尾 陽子,ひらお ようこ,hirao_youko@example.com,女,72,1947/6/12,既婚,A型,山形県,06,022-744-9947,080-8420-1691,au,左ルー・ルー攻め派
杉下 勇,すぎした ゆう,sugishita_yuu@example.com,女,44,1975/8/16,既婚,A型,新潟県,15,012-800-8118,080-5420-9017,ソフトバンク,別盛り・せき止め派
有賀 奈月,ありが なつき,ariga_natsuki@example.com,女,32,1987/5/24,既婚,B型,千葉県,12,050-731-1200,080-4536-2343,ドコモ,ぶっかけ・ルー攻め派
玉置 美月,たまき みづき,tamaki_miduki@example.com,女,76,1944/1/7,既婚,A型,山形県,06,059-373-7704,080-3275-4184,ドコモ,ぶっかけ・せき止め派
内野 弘也,うちの ひろなり,uchino_hironari@example.com,男,43,1976/12/15,既婚,O型,高知県,39,0 6-215-8975,080-6754-  22,ドコモ,左ルー・ルー攻め派
臼井 聖陽,うすい まさあき,usui_masaaki@example.com,男,27,1992/6/2,未婚,A型,福岡県,40,057-904-3450,090-  31-3451,ドコモ,ぶっかけ・別口派
一木 京子,いちき きょうこ,ichiki_kyouko@example.com,女,43,1976/6/2,既婚,A型,滋賀県,25,079-403-4978,090-2244-1808,ツーカー,ぶっかけ・混ぜ混ぜ派
関谷 未華子,せきや みかこ,sekiya_mikako@example.com,女,24,1995/10/21,既婚,B型,大阪府,27,043-790-3477,080-8224-6888,ドコモ,ぶっかけ・せき止め派
井手 咲,いで さき,ide_saki@example.com,女,12,2007/9/2,未婚,AB型,千葉県,12,023-191- 903,090-6749-6451,au,ぶっかけ・せき止め派
八田 真悠子,やつだ まゆこ,yatsuda_mayuko@example.com,女,38,1981/9/1,既婚,O型,熊本県,43,030-170-3324,080-9656-1342,ドコモ,ぶっかけ・ルー攻め派
岡山 璃子,おかやま りこ,okayama_riko@example.com,女,73,1946/6/6,既婚,O型,熊本県,43,023-321-7845,080-5830-1432,ドコモ,左ルー・ルー攻め派
島津 裕次郎,しまづ ゆうじろう,shimadu_yuujirou@example.com,男,68,1951/12/29,既婚,O型,栃木県,09,080-738-3722,090-5174-4705,ドコモ,左ルー・せき止め派
佐伯 菜摘,さえき なつみ,saeki_natsumi@example.com,女,17,2002/10/1,未婚,A型,新潟県,15,051-504-1885,080-1852-8629,ソフトバンク,ぶっかけ・せき止め派
宮島 雅彦,みやじま まさひこ,miyajima_masahiko@example.com,男,52,1967/3/16,既婚,A型,神奈川県,14,079-121-5595,080-4368-2592,au,ぶっかけ・せき止め派
依田 光,よりた ひかる,yorita_hikaru@example.com,男,80,1940/2/3,既婚,O型,青森県,02,049-449-9063,080-9271-9928,ドコモ,右ルー・別口派
角谷 蒼甫,かどたに そうすけ,kadotani_sousuke@example.com,男,77,1942/4/12,既婚,O型,北海道,01,0 6-617-3958,090-6645-6397,au,ぶっかけ・別口派
大河内 ケンイチ,おおこうち けんいち,ookouchi_kenichi@example.com,男,17,2003/1/31,未婚,B型,兵庫県,28,075-   -4037,080-7081-6960,ドコモ,奥ルー・ナン派
小山 沙耶,おやま さや,oyama_saya@example.com,女,20,1999/6/16,未婚,O型,東京都,13,088-593-5841,080-4155-7564,ドコモ,ぶっかけ・せき止め派
阿久津 麻由子,あくつ まゆこ,akutsu_mayuko@example.com,女,70,1949/2/17,既婚,B型,熊本県,43,071-233-3333,080-8807-9967,au,ぶっかけ・混ぜ混ぜ派
西原 ひろみ,にしはら ひろみ,nishihara_hiromi@example.com,女,19,2001/1/16,未婚,AB型,大阪府,27,034-733-1956,090-5580-9280,ドコモ,左ルー・混ぜ混ぜ派
岡野 竜也,おかの たつや,okano_tatsuya@example.com,男,51,1968/5/2,既婚,B型,京都府,26,087-792-8582,090-2391-5148,au,左ルー・ルー攻め派
五十嵐 扶樹,いがらし もとき,igarashi_motoki@example.com,男,77,1942/4/26,既婚,B型,愛知県,23,085-863-9594,090- 517-1195,ドコモ,ぶっかけ・ルー攻め派
根本 充則,ねもと みつのり,nemoto_mitsunori@example.com,男,72,1948/1/20,既婚,A型,静岡県,22,046-460-3540,090-7013-2864,ドコモ,左ルー・別口派
川本 瑠璃亜,かわもと るりあ,kawamoto_ruria@example.com,女,61,1958/12/22,既婚,O型,福岡県,40,0 9-936-3603,090-6785-1461,ドコモ,右ルー・せき止め派
浅倉 花,あさくら はな,asakura_hana@example.com,女,51,1968/11/14,既婚,O型,京都府,26,087-283-9271,080-2346-3885,au,奥ルー・別口派
赤松 美佐子,あかまつ みさこ,akamatsu_misako@example.com,女,83,1936/3/28,既婚,A型,静岡県,22,036-313- 209,080-5899-6918,ドコモ,左ルー・混ぜ混ぜ派
恩田 仁,おんだ じん,onnda_jin@example.com,男,46,1973/10/17,未婚,A型,静岡県,22,037-866-5161,090-1609-8153,ドコモ,左ルー・混ぜ混ぜ派
赤坂 一哉,あかさか かずや,akasaka_kazuya@example.com,男,25,1994/3/7,未婚,O型,大阪府,27,044-902-8005,090-5664- 130,au,ぶっかけ・せき止め派
小宮 あおい,こみや あおい,komiya_aoi@example.com,女,31,1988/10/23,既婚,O型,北海道,01,079-531-4229,090-5530-9963,au,ぶっかけ・せき止め派
前島 美帆,まえじま みほ,maejima_miho@example.com,女,75,1944/6/23,既婚,O型,千葉県,12,028-914-6001,090- 434-5482,ドコモ,奥ルー・混ぜ混ぜ派
中本 博明,なかもと ひろあき,nakamoto_hiroaki@example.com,男,55,1964/8/12,既婚,O型,兵庫県,28,035-188-9045,090-5431-7435,ドコモ,左ルー・ルー攻め派
細井 亮,ほそい りょう,hosoi_ryou@example.com,男,16,2003/9/8,未婚,A型,茨城県,08,011-397-8559,080-6457-9618,ツーカー,ぶっかけ・ルー攻め派
柄本 博之,えもと ひろゆき,emoto_hiroyuki@example.com,男,24,1995/4/6,未婚,O型,広島県,34,024-782-3004,090-4308-5849,ドコモ,ぶっかけ・せき止め派
入江 明宏,いりえ あきひろ,irie_akihiro@example.com,男,63,1957/1/7,既婚,O型,広島県,34,033-730-9802,080-1274-6446,au,ぶっかけ・混ぜ混ぜ派
香川 敏和,かがわ としかず,kagawa_toshikazu@example.com,男,68,1951/4/5,既婚,O型,岐阜県,21,067-928-3623,090-7864-6361,au,左ルー・混ぜ混ぜ派
矢野 希,やの のぞみ,yano_nozomi@example.com,女,84,1935/3/22,既婚,B型,山梨県,19,072-631-5405,080-7483-6309,au,左ルー・せき止め派
澤田 美希,さわだ みき,sawada_miki@example.com,女,24,1995/6/21,未婚,A型,兵庫県,28,082-803-4091,090-6525-6403,ドコモ,ぶっかけ・ナン派
柳田 真一,やなぎだ しんいち,yanagida_shinichi@example.com,男,41,1978/12/2,未婚,O型,宮城県,04,017-848-6559,080-8966- 840,au,左ルー・ナン派
井手 将也,いで まさや,ide_masaya@example.com,男,38,1981/8/29,既婚,O型,埼玉県,11,018-955-9836,080-3519-4390,au,右ルー・別口派
小原 京子,おはら きょうこ,ohara_kyouko@example.com,女,45,1974/7/31,既婚,A型,東京都,13,080-369-3103,080-6002-7441,ドコモ,ぶっかけ・別口派
早坂 勤,はやさか つとむ,hayasaka_tsutomu@example.com,男,49,1970/10/31,未婚,B型,沖縄県,47,017-713-3181,090-4677-6695,ドコモ,左ルー・混ぜ混ぜ派
藤井 里奈,ふじい りな,fujii_rina@example.com,女,81,1938/10/31,既婚,A型,兵庫県,28,071- 97-1288,090-5093- 335,ソフトバンク,手前ルー・せき止め派
百瀬 勇一,ももせ ゆういち,momose_yuuichi@example.com,男,64,1955/9/20,既婚,A型,岐阜県,21,044-979-7680,080-7361-3595,au,右ルー・別口派
米山 由宇,よねやま ゆう,yoneyama_yuu@example.com,女,22,1997/10/20,未婚,A型,埼玉県,11,023-795-3913,080- 354- 275,au,左ルー・せき止め派
菅沼 美紀,すがぬま みき,suganuma_miki@example.com,女,64,1955/5/6,既婚,A型,広島県,34,067- 35-6232,090-1203- 720,ドコモ,左ルー・ルー攻め派
松岡 竜也,まつおか たつや,matsuoka_tatsuya@example.com,男,46,1973/6/28,既婚,O型,神奈川県,14,066-692-2075,090-9515-7481,ドコモ,手前ルー・混ぜ混ぜ派
前原 兼,まえはら けん,maehara_ken@example.com,男,34,1985/12/7,既婚,B型,岡山県,33,034-557-4707,080-1147-2435,ドコモ,奥ルー・混ぜ混ぜ派
坂元 光良,さかもと てるよし,sakamoto_teruyoshi@example.com,男,70,1949/10/7,既婚,O型,京都府,26,032-743-6827,080-4822-9952,ソフトバンク,ぶっかけ・ルー攻め派
内村 花緑,うちむら かろく,uchimura_karoku@example.com,男,30,1989/11/28,既婚,AB型,奈良県,29,084-461-4830,080-6622-7318,ドコモ,左ルー・別口派
中西 美優,なかにし みゅう,nakanishi_myuu@example.com,女,34,1986/1/9,既婚,B型,広島県,34,0 7-407-4862,080-6507- 292,ドコモ,左ルー・ルー攻め派
村岡 美希,むらおか みき,muraoka_miki@example.com,女,72,1947/12/2,既婚,O型,長野県,20,039-595-6058,080-9184- 460,ドコモ,左ルー・ルー攻め派
吉永 信輔,よしなが しんすけ,yoshinaga_shinsuke@example.com,男,42,1977/9/14,既婚,A型,群馬県,10,091-327-9145,080-1238-2975,ドコモ,左ルー・ルー攻め派
七瀬 昴,ななせ すばる,nanase_subaru@example.com,男,10,2009/6/23,未婚,A型,三重県,24,016-571-5713,090-8014-  65,ドコモ,左ルー・ルー攻め派
清田 美嘉,きよた みか,kiyota_mika@example.com,女,11,2009/1/4,未婚,O型,東京都,13,064-  7-7774,080- 950-2980,ドコモ,右ルー・ナン派
中根 景子,なかね けいこ,nakane_keiko@example.com,女,70,1949/8/1,既婚,A型,北海道,01,039-830-6759,090- 560-5382,ドコモ,左ルー・ルー攻め派
乾 優,いぬい ゆう,inui_yuu@example.com,女,15,2004/12/16,未婚,A型,神奈川県,14,0 6-931-6314,090-6246-8031,au,ぶっかけ・ルー攻め派
白鳥 涼,しらとり りょう,shiratori_ryou@example.com,女,48,1971/3/1,既婚,O型,北海道,01,015-221-6447,080-1190-9581,au,左ルー・別口派
伊東 美佳,いとう みか,itou_mika@example.com,女,76,1943/10/30,既婚,A型,岐阜県,21,070-700-9597,090-6394-9190,au,左ルー・混ぜ混ぜ派
森田 紗季,もりた さき,morita_saki@example.com,女,82,1937/2/19,既婚,A型,千葉県,12,094-691-8551,090-4310-4945,au,別盛り・別口派
徳田 奈月,とくた なつき,tokuta_natsuki@example.com,女,66,1953/7/22,既婚,A型,静岡県,22,071-137-5992,090- 268-2933,au,奥ルー・ルー攻め派
飯野 晴臣,いいの はるおみ,iino_haruomi@example.com,男,19,2000/7/14,未婚,A型,沖縄県,47,092-408-5613,080-  86-3327,ドコモ,左ルー・ルー攻め派
原 あき,はら あき,hara_aki@example.com,女,12,2007/6/14,未婚,B型,神奈川県,14,020-265-6714,080- 533-8981,ソフトバンク,左ルー・せき止め派
仲村 雅彦,なかむら まさひこ,nakamura_masahiko@example.com,男,80,1939/8/18,既婚,B型,東京都,13,072-561-1087,090-6194-5437,ドコモ,ぶっかけ・混ぜ混ぜ派
前原 ひとみ,まえはら ひとみ,maehara_hitomi@example.com,女,68,1951/9/28,既婚,B型,青森県,02,034-360-9504,080-1889-1611,ドコモ,ぶっかけ・混ぜ混ぜ派
秋山 大,あきやま まさる,akiyama_masaru@example.com,男,79,1941/1/13,既婚,O型,秋田県,05,080-757-7296,080- 393-2146,ドコモ,手前ルー・ルー攻め派
根本 真悠子,ねもと まゆこ,nemoto_mayuko@example.com,女,42,1977/11/13,既婚,AB型,東京都,13,091-809-5121,080-3692-1363,au,ぶっかけ・せき止め派
北条 一恵,ほうじょう かづえ,houjou_kadue@example.com,女,53,1967/1/7,未婚,B型,青森県,02,095-332-6089,090-3961-4484,ドコモ,右ルー・ルー攻め派
大林 さんま,おおばやし さんま,oobayashi_sanma@example.com,男,12,2007/10/30,未婚,B型,埼玉県,11,0 6-527-2384,090-3341-6041,ドコモ,左ルー・せき止め派
本橋 なぎさ,もとはし なぎさ,motohashi_nagisa@example.com,女,36,1983/5/9,既婚,A型,岡山県,33,095-908-5735,090-2073-8389,ドコモ,左ルー・別口派
小久保 瞳,こくぼ ひとみ,kokubo_hitomi@example.com,女,79,1940/9/2,既婚,A型,京都府,26,093-776-3817,080-6881-8799,ドコモ,左ルー・混ぜ混ぜ派
岡田 英嗣,おかだ ひでつぐ,okada_hidetsugu@example.com,男,44,1975/10/13,既婚,B型,大阪府,27,095-258-  65,080-8989-3495,ドコモ,右ルー・混ぜ混ぜ派
池内 文世,いけうち ふみよ,ikeuchi_fumiyo@example.com,女,57,1962/8/24,既婚,B型,石川県,17,064- 87-1549,080- 148-7177,ドコモ,左ルー・ルー攻め派
梅津 聡,うめづ さとし,umedu_satoshi@example.com,男,47,1972/11/16,既婚,B型,北海道,01,014-603-9517,090-2648-5587,au,左ルー・混ぜ混ぜ派
中川 孝太郎,なかがわ こうたろう,nakagawa_koutarou@example.com,男,34,1985/12/9,既婚,O型,東京都,13,066-755-5536,080-6384-3113,ドコモ,ぶっかけ・せき止め派
飯野 聡,いいの さとし,iino_satoshi@example.com,男,28,1991/10/18,既婚,A型,埼玉県,11,0 6-362-8230,090-8327- 755,au,左ルー・せき止め派
戸田 結子,とだ ゆうこ,toda_yuuko@example.com,女,28,1991/7/16,既婚,A型,千葉県,12,093-559-9472,090-2315-5573,ドコモ,右ルー・混ぜ混ぜ派
岡本 美里,おかもと みり,okamoto_miri@example.com,女,25,1994/10/1,未婚,AB型,徳島県,36,050-287-4431,090-2481-8377,ドコモ,左ルー・ナン派
吉本 将也,よしもと まさや,yoshimoto_masaya@example.com,男,37,1983/2/12,既婚,A型,埼玉県,11,015-688-2993,080-6659-6096,au,右ルー・別口派
田所 莉緒,たどころ りお,tadokoro_rio@example.com,女,39,1980/4/18,既婚,A型,大阪府,27,020-771-8040,080-2997-7933,ドコモ,ぶっかけ・せき止め派
栗田 麻緒,くりた まお,kurita_mao@example.com,女,17,2002/12/11,未婚,B型,新潟県,15,062-729-1777,090-9708-5444,ソフトバンク,右ルー・ルー攻め派
上田 兼,うえだ けん,ueda_ken@example.com,男,27,1992/7/31,既婚,B型,福岡県,40,099-128-6792,080-6663-7096,ソフトバンク,左ルー・混ぜ混ぜ派
