名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
高瀬 れいな,たかせ れいな,takase_reina@example.com,女,40,1979/3/7,既婚,A型,北海道,022- 22-4332,090-5887-  50,ドコモ,左ルー・別口派
浜田 仁,はまだ じん,hamada_jin@example.com,男,34,1985/2/22,既婚,O型,北海道,0  -833-2435,080-6511-8248,au,別盛り・ルー攻め派
久野 かおり,ひさの かおり,hisano_kaori@example.com,女,79,1940/12/5,既婚,A型,東京都,037-384-8765,090-1013-5079,ドコモ,左ルー・せき止め派
宇都宮 徹,うつのみや とおる,utsunomiya_tooru@example.com,男,19,2000/6/24,未婚,O型,北海道,032-448-7152,090-1639-8084,ドコモ,ぶっかけ・ルー攻め派
宮坂 一輝,みやさか かずき,miyasaka_kazuki@example.com,男,74,1945/3/5,既婚,O型,福岡県,057-248- 169,090-7417-5859,ドコモ,右ルー・混ぜ混ぜ派
岩本 法嗣,いわもと ほうし,iwamoto_houshi@example.com,男,74,1946/1/13,既婚,O型,大阪府,063-934-6558,080-4767-7059,ソフトバンク,ぶっかけ・ルー攻め派
秋山 まみ,あきやま まみ,akiyama_mami@example.com,女,62,1957/9/20,既婚,O型,埼玉県,061-629-7256,080-4414-5346,ドコモ,左ルー・ルー攻め派
坂下 明,さかした あきら,sakashita_akira@example.com,男,25,1994/7/27,未婚,B型,高知県,011-431-9581,090-3508-2620,ドコモ,手前ルー・ナン派
加藤 守,かとう まもる,katou_mamoru@example.com,男,39,1980/3/30,既婚,AB型,福岡県,040-639- 137,080-9577-6569,au,左ルー・ナン派
藤野 涼子,ふじの りょうこ,fujino_ryouko@example.com,女,43,1976/7/30,既婚,A型,長崎県,0 5-439-5525,090-4525-6262,ドコモ,左ルー・せき止め派
清田 怜奈,きよた れいな,kiyota_reina@example.com,女,31,1989/1/18,既婚,O型,神奈川県,052-475-4068,080-2143-6994,ドコモ,別盛り・ルー攻め派
石塚 茜,いしづか あかね,ishiduka_akane@example.com,女,23,1996/12/17,未婚,O型,京都府,068-694-9711,080-9474-9735,au,左ルー・ルー攻め派
金丸 路子,かなまる みちこ,kanamaru_michiko@example.com,女,74,1945/3/17,既婚,O型,長崎県,089-567-6400,080-2539-8315,au,ぶっかけ・せき止め派
富岡 惇,とみおか あつし,tomioka_atsushi@example.com,男,72,1948/1/21,既婚,O型,群馬県,055-180-6884,080-1010-5130,au,奥ルー・混ぜ混ぜ派
内藤 景子,ないとう けいこ,naitou_keiko@example.com,女,46,1973/10/5,既婚,A型,兵庫県,027-364-4282,080-5048-3327,au,ぶっかけ・せき止め派
おかやま 大五郎,おかやま だいごろう,okayama_daigorou@example.com,男,29,1990/7/7,既婚,A型,茨城県,028-882-5883,080-2823- 487,au,ぶっかけ・混ぜ混ぜ派
原口 崇史,はらぐち たかし,haraguchi_takashi@example.com,男,78,1941/12/2,既婚,AB型,東京都,041-793-3881,090-8412-2633,au,左ルー・ルー攻め派
伊藤 明,いとう あきら,itou_akira@example.com,男,45,1974/2/18,既婚,B型,岐阜県,096- 43-8164,090-2968- 586,ドコモ,ぶっかけ・別口派
福山 なつみ,ふくやま なつみ,fukuyama_natsumi@example.com,女,70,1949/9/15,既婚,AB型,東京都,019-863-5613,090-6587-6327,ドコモ,ぶっかけ・ルー攻め派
大城 まさし,おおしろ まさし,ooshiro_masashi@example.com,男,50,1969/3/16,既婚,B型,山口県,067-317-9984,080-8451-8785,au,右ルー・せき止め派
細川 千佳子,ほそかわ ちかこ,hosokawa_chikako@example.com,女,29,1990/12/30,既婚,A型,東京都,023-327-1186,090-4065-4833,au,奥ルー・せき止め派
深田 景子,ふかだ けいこ,fukada_keiko@example.com,女,67,1952/6/14,既婚,A型,東京都,025-277-5918,090-1563-9727,au,ぶっかけ・別口派
綾小路 美希,あやのこうじ みき,ayanokouji_miki@example.com,女,45,1974/8/4,既婚,O型,鹿児島県,071-614- 624,090-2500-8226,au,左ルー・せき止め派
高井 恵梨香,たかい えりか,takai_erika@example.com,女,33,1986/5/16,未婚,A型,東京都,078- 31-1203,080-1052-6260,ドコモ,別盛り・混ぜ混ぜ派
三井 雅之,みつい まさゆき,mitsui_masayuki@example.com,男,69,1950/6/14,既婚,O型,静岡県,054-723-1449,090-7973-2996,ドコモ,ぶっかけ・別口派
牧瀬 未華子,まきせ みかこ,makise_mikako@example.com,女,64,1955/6/10,既婚,B型,熊本県,047-562-1758,080-3689-1692,ドコモ,ぶっかけ・せき止め派
六角 智花,ろっかく ともか,rokkaku_tomoka@example.com,女,29,1990/8/16,未婚,O型,富山県,089-376-5664,080-8998-8174,ドコモ,奥ルー・混ぜ混ぜ派
菅野 みあ,すがの みあ,sugano_mia@example.com,女,56,1963/3/25,既婚,O型,福島県,059-200-3828,090-9674-8861,ドコモ,左ルー・せき止め派
尾上 サダヲ,おがみ さだお,ogami_sadawo@example.com,男,64,1955/4/17,既婚,B型,岐阜県,068- 46- 424,080-6724-8978,ドコモ,右ルー・別口派
寺田 ひかり,てらだ ひかり,terada_hikari@example.com,女,69,1950/11/13,既婚,B型,鹿児島県,017- 48- 847,080-9106-2516,au,手前ルー・せき止め派
前原 ジョージ,まえはら じょーじ,maehara_george@example.com,男,51,1968/8/29,既婚,A型,大阪府,039-801-1133,090-2893-2610,ソフトバンク,ぶっかけ・せき止め派
奥貫 利夫,おくぬき としお,okunuki_toshio@example.com,男,42,1977/6/12,既婚,O型,愛知県,058-425-9182,080-8948- 336,ドコモ,右ルー・ルー攻め派
竹原 竜次,たけはら りゅうじ,takehara_ryuuji@example.com,男,78,1941/11/24,既婚,A型,香川県,081-935-6194,080-7836- 568,ドコモ,手前ルー・ルー攻め派
久保田 雅功,くぼた まさとし,kubota_masatoshi1@example.com,男,66,1953/12/14,既婚,A型,京都府,089-534-4121,090-8224-5783,ドコモ,ぶっかけ・せき止め派
神保 博明,じんぼ ひろあき,jinbo_hiroaki@example.com,男,28,1991/11/8,既婚,O型,岡山県,080-119-1229,090-4297-3033,ドコモ,左ルー・ルー攻め派
生瀬 春樹,なませ はるき,namase_haruki@example.com,女,22,1997/5/25,未婚,AB型,神奈川県,044-319-1356,090-7719- 791,ドコモ,奥ルー・別口派
はしの 守,はしの まもる,hashino_mamoru@example.com,男,80,1939/10/11,既婚,A型,佐賀県,073-344-1874,090-1625-9510,ドコモ,右ルー・ルー攻め派
石田 直人,いしだ なおと,ishida_naoto@example.com,男,62,1957/4/10,未婚,A型,茨城県,088-865-8382,090-1670-8516,au,左ルー・ルー攻め派
瀬戸内 大五郎,せとうち だいごろう,setouchi_daigorou@example.com,男,47,1972/3/28,既婚,A型,東京都,031-926-1001,080-1858-3638,au,奥ルー・せき止め派
藤村 憲一,ふじむら けんいち,fujimura_kenichi@example.com,男,66,1954/2/8,既婚,A型,長野県,018-850-8713,080- 595-2367,ソフトバンク,ぶっかけ・せき止め派
本上 メイサ,ほんじょう めいさ,honjo_meisa@example.com,女,63,1956/5/16,既婚,AB型,福島県,036-751-8475,090-6782-1931,ドコモ,奥ルー・せき止め派
水上 育二,みずかみ いくじ,mizukami_ikuji@example.com,男,76,1943/11/29,既婚,A型,東京都,099-528-4407,080-8021-4807,au,ぶっかけ・せき止め派
古谷 雅功,ふるたに まさとし,furutani_masatoshi@example.com,男,18,2002/2/11,未婚,O型,岡山県,097-346-1323,090-3902-6981,au,奥ルー・せき止め派
大塚 竜也,おおつか たつや,ootsuka_tatsuya@example.com,男,52,1967/4/1,既婚,B型,岡山県,049-466-3250,080- 948-2276,au,ぶっかけ・せき止め派
岡島 昴,おかじま すばる,okajima_subaru@example.com,男,46,1973/6/20,既婚,B型,千葉県,014-727-7789,090-3451-9361,ソフトバンク,ぶっかけ・ルー攻め派
吉川 佳乃,よしかわ よしの,yoshikawa_yoshino@example.com,女,34,1986/2/10,未婚,A型,愛知県,052-639-7624,090-1587-   9,ドコモ,奥ルー・混ぜ混ぜ派
森山 結子,もりやま ゆうこ,moriyama_yuuko@example.com,女,65,1954/8/5,既婚,O型,神奈川県,064-741-5867,080- 353-3113,ソフトバンク,ぶっかけ・混ぜ混ぜ派
野村 孝太郎,のむら こうたろう,nomura_koutarou@example.com,男,50,1969/12/15,既婚,A型,大阪府,013-706-8463,080- 379-2385,ドコモ,別盛り・ルー攻め派
成瀬 信吾,なるせ しんご,naruse_shingo@example.com,男,20,1999/2/19,未婚,A型,兵庫県,044-588-5148,090-8777-1280,au,ぶっかけ・ルー攻め派
浅川 美幸,あさかわ みゆき,asakawa_miyuki@example.com,女,80,1939/9/10,既婚,A型,広島県,083-225-4991,090-4640-1368,ドコモ,奥ルー・別口派
内野 まひる,うちの まひる,uchino_mahiru@example.com,女,56,1963/6/26,既婚,A型,静岡県,065-336-9450,090-8523-4932,au,奥ルー・せき止め派
岩田 竜也,いわた たつや,iwata_tatsuya@example.com,男,78,1941/6/12,既婚,A型,熊本県,093-731-1493,090-8746-6808,au,手前ルー・別口派
北沢 隆,きたざわ たかし,kitazawa_takashi@example.com,男,63,1956/9/22,既婚,O型,千葉県,081-602-3955,090-3470-5434,au,別盛り・せき止め派
関根 たまき,せきね たまき,sekine_tamaki1@example.com,女,75,1944/7/3,既婚,AB型,愛媛県,049-758-6072,080-5174-9266,ドコモ,左ルー・混ぜ混ぜ派
堤 染五郎,つつみ そめごろう,tsutsumi_somegorou@example.com,男,28,1991/4/1,既婚,O型,埼玉県,014-963- 905,090-6302-4850,au,ぶっかけ・ルー攻め派
及川 ひとり,おいかわ ひとり,oikawa_hitori@example.com,男,61,1958/5/30,既婚,A型,岩手県,054-445-5178,080-6115-5132,ツーカー,右ルー・混ぜ混ぜ派
石丸 礼子,いしまる れいこ,ishimaru_reiko@example.com,女,43,1977/1/14,既婚,O型,千葉県,087-427-9842,080-2945-4009,au,右ルー・せき止め派
井上 たかお,いのうえ たかお,inoue_takao@example.com,男,31,1989/1/7,既婚,O型,東京都,098-870-2625,080-1778-8693,ソフトバンク,左ルー・別口派
武藤 美幸,むとう みゆき,mutou_miyuki1@example.com,女,51,1968/11/5,既婚,B型,高知県,063-125- 968,080-4172-9034,au,右ルー・ルー攻め派
新垣 碧海,にいがき おうが,niigaki_ouga@example.com,男,23,1996/9/19,未婚,B型,東京都,0 9-  3-1404,080-7886- 396,ドコモ,左ルー・せき止め派
宍戸 育子,ししど いくこ,shishido_ikuko@example.com,女,58,1962/1/31,既婚,AB型,大阪府,084-656-3564,080-2368-1461,au,ぶっかけ・せき止め派
金丸 はるか,かなまる はるか,kanamaru_haruka@example.com,女,74,1945/4/19,既婚,A型,兵庫県,030-359-5060,090-6335-7293,ソフトバンク,左ルー・混ぜ混ぜ派
神木 涼,かみき りょう,kamiki_ryou@example.com,女,44,1975/7/15,未婚,A型,神奈川県,095-575-2427,080-9869- 782,ドコモ,左ルー・せき止め派
一青 勝久,ひとと かつひさ,hitoto_katsuhisa@example.com,男,59,1960/6/25,既婚,AB型,高知県,029-821-4642,090-2733-2647,ドコモ,奥ルー・せき止め派
根岸 遥,ねぎし はるか,negishi_haruka@example.com,女,78,1941/3/15,既婚,A型,兵庫県,088-835-1687,090-4535- 196,ドコモ,ぶっかけ・混ぜ混ぜ派
牧瀬 勇太,まきせ ゆうた,makise_yuuta@example.com,男,57,1962/3/31,既婚,A型,北海道,023-791-2968,090-5641-2837,ドコモ,手前ルー・せき止め派
古山 なつみ,ふるやま なつみ,furuyama_natsumi@example.com,女,19,2000/8/5,未婚,O型,長野県,088-180-5044,090-8219-3045,ドコモ,左ルー・せき止め派
片桐 基祐,かたぎり きすけ,katagiri_kisuke@example.com,男,70,1949/9/15,既婚,O型,埼玉県,023-495-7803,080-9689-1129,ドコモ,左ルー・混ぜ混ぜ派
小林 さんま,こばやし さんま,kobayashi_sanma@example.com,男,63,1957/2/13,既婚,O型,東京都,051-875- 727,080-1453- 427,ツーカー,奥ルー・混ぜ混ぜ派
下村 勇太,しもむら ゆうた,shimomura_yuuta@example.com,男,60,1959/8/15,既婚,B型,兵庫県,095-249-1677,080-7183-4886,au,奥ルー・せき止め派
神原 未來,かんばら みらい,kannbara_mirai@example.com,女,54,1965/3/6,既婚,A型,広島県,051-351-6392,090-2299-7451,ドコモ,左ルー・混ぜ混ぜ派
千田 明日,せんだ めいび,sennda_meibi@example.com,女,44,1976/2/11,既婚,O型,埼玉県,052-641-5276,090-1791-9862,au,別盛り・混ぜ混ぜ派
山城 真希,やましろ まき,yamashiro_maki@example.com,女,28,1991/8/31,未婚,A型,福島県,085-570-8575,090-1763- 155,ドコモ,右ルー・せき止め派
筧 涼,かけい りょう,kakei_ryou@example.com,女,40,1979/11/12,既婚,A型,大阪府,078-843-4772,080-7735-7855,ドコモ,ぶっかけ・別口派
大熊 あおい,おおくま あおい,ookuma_aoi@example.com,女,30,1989/5/1,既婚,O型,宮城県,011-369-5020,080-8945-7729,ドコモ,ぶっかけ・別口派
森山 亮介,もりやま りょうすけ,moriyama_ryousuke@example.com,男,78,1941/12/20,既婚,O型,埼玉県,0 3-590-6893,090-4438-2117,au,ぶっかけ・ルー攻め派
高嶋 怜奈,たかしま れいな,takashima_reina@example.com,女,30,1989/7/10,既婚,A型,北海道,083-935-1383,080-4421-5071,au,ぶっかけ・ルー攻め派
金児 美幸,かねこ みゆき,kaneko_miyuki@example.com,女,51,1968/12/25,既婚,O型,神奈川県,015-390- 178,080-6387-2808,au,右ルー・せき止め派
立川 沙耶,たちかわ さや,tachikawa_saya@example.com,女,41,1978/4/16,既婚,AB型,東京都,030-441-8088,080-1998-5093,au,左ルー・別口派
朝倉 知世,あさくら ちせ,asakura_chise@example.com,女,37,1982/12/15,未婚,AB型,千葉県,098-468-3278,080-3267-1801,au,左ルー・せき止め派
岩佐 麻緒,いわさ まお,iwasa_mao@example.com,女,61,1958/2/22,既婚,B型,鹿児島県,099-255-1014,090-5321-8901,au,ぶっかけ・ルー攻め派
梅沢 くるみ,うめざわ くるみ,umezawa_kurumi@example.com,女,53,1966/9/17,既婚,A型,大阪府,038-929-2366,090-4439-4789,ドコモ,左ルー・混ぜ混ぜ派
上村 英嗣,うえむら ひでつぐ,uemura_hidetsugu@example.com,男,62,1957/9/25,既婚,A型,千葉県,080-901-9169,090-5363-1755,ドコモ,左ルー・ルー攻め派
城田 祐一,しろた ゆういち,shirota_yuuichi@example.com,男,74,1945/7/2,既婚,A型,兵庫県,043-891-7036,090-9560-2928,ドコモ,ぶっかけ・混ぜ混ぜ派
滝本 優,たきもと ゆう,takimoto_yuu@example.com,女,49,1970/6/15,既婚,O型,山梨県,012-407-8841,090-4615-4865,ドコモ,奥ルー・ルー攻め派
大塚 洋介,おおつか ようすけ,ootsuka_yousuke@example.com,男,36,1983/4/3,既婚,A型,三重県,024-149-7309,080-1486- 130,au,ぶっかけ・せき止め派
奥野 綾女,おくの あやめ,okuno_ayame@example.com,女,76,1943/3/16,既婚,B型,愛媛県,066- 25-6214,090-6810-2411,ドコモ,左ルー・ナン派
目黒 一哉,めぐろ かずや,meguro_kazuya@example.com,男,57,1963/2/6,既婚,A型,広島県,095-458-4929,080-7570-8806,ソフトバンク,左ルー・別口派
河原 弘也,かわはら ひろなり,kawahara_hironari1@example.com,男,47,1972/8/1,既婚,O型,沖縄県,077-838-4145,080-3333-3895,ドコモ,手前ルー・せき止め派
浅川 完爾,あさかわ かんじ,asakawa_kanji@example.com,男,41,1978/9/21,未婚,A型,大阪府,012-241-7884,090- 859-2045,ドコモ,左ルー・混ぜ混ぜ派
本多 努,ほんだ つとむ,honnda_tsutomu@example.com,男,28,1991/5/30,既婚,A型,東京都,063-236-6084,090-3842-7335,ソフトバンク,左ルー・せき止め派
筒井 詩織,つつい しおり,tsutsui_shiori@example.com,女,24,1995/6/25,未婚,A型,北海道,076-403-5950,090-3525-8285,ドコモ,ぶっかけ・混ぜ混ぜ派
東 直人,ひがし なおと,higashi_naoto@example.com,男,22,1997/12/19,既婚,A型,愛知県,046-210-7264,080-4420-5494,ドコモ,左ルー・せき止め派
市川 小百合,いちかわ さゆり,ichikawa_sayuri@example.com,女,55,1964/11/25,既婚,B型,埼玉県,092-409-2551,090-4651-3455,ドコモ,ぶっかけ・別口派
柴崎 景子,しばざき けいこ,shibazaki_keiko@example.com,女,34,1985/5/30,既婚,A型,神奈川県,031-790-2606,090-8280-1289,ドコモ,ぶっかけ・せき止め派
河原 陽子,かわはら ようこ,kawahara_youko@example.com,女,36,1984/1/16,既婚,B型,大阪府,015-121-6230,090-7529-8153,ドコモ,ぶっかけ・ルー攻め派
大和田 進,おおわだ すすむ,oowada_susumu@example.com,男,66,1953/6/8,既婚,A型,東京都,098-584-8618,080-4593- 750,au,右ルー・せき止め派
田所 雅彦,たどころ まさひこ,tadokoro_masahiko@example.com,男,51,1968/2/19,既婚,B型,岐阜県,071-453-7705,080-2439-7938,ドコモ,ぶっかけ・せき止め派
本田 優,ほんだ ゆう,honnda_yuu@example.com,男,35,1985/2/2,既婚,A型,広島県,039-339-5210,080-4474-9973,au,手前ルー・せき止め派
橋本 りえ,はしもと りえ,hashimoto_rie@example.com,女,49,1970/3/2,既婚,A型,兵庫県,062-237-9082,080-8103-5494,ソフトバンク,左ルー・せき止め派
江川 良介,えがわ りょうすけ,egawa_ryousuke@example.com,男,70,1950/1/15,既婚,O型,東京都,043- 55-9053,090-4324-2389,ドコモ,ぶっかけ・ルー攻め派
多部 明日,たべ めいび,tabe_meibi@example.com,女,49,1970/10/10,未婚,A型,東京都,099-232-6301,090-2514-5030,ドコモ,奥ルー・別口派
飯田 憲一,いいだ けんいち,iida_kenichi@example.com,男,26,1993/2/21,既婚,B型,福井県,076-228-5930,080-2111-7206,ドコモ,手前ルー・ルー攻め派
織田 瞳,おだ ひとみ,oda_hitomi@example.com,女,71,1948/8/14,既婚,A型,京都府,057-323-2411,090-2223-6396,ドコモ,ぶっかけ・せき止め派
沢田 鉄洋,さわだ てつひろ,sawada_tetsuhiro@example.com,男,69,1950/11/30,既婚,AB型,東京都,0 7-128-5650,090-7026-4725,ドコモ,ぶっかけ・ルー攻め派
山岡 沙耶,やまおか さや,yamaoka_saya@example.com,女,64,1955/11/15,既婚,A型,北海道,0 6-911- 952,080-6522-6043,ドコモ,左ルー・混ぜ混ぜ派
杉下 一哉,すぎした かずや,sugishita_kazuya@example.com,男,54,1965/9/9,既婚,B型,福岡県,069- 44-3428,090-3053-7062,ドコモ,右ルー・せき止め派
梅津 直人,うめづ なおと,umedu_naoto@example.com,男,51,1968/3/30,既婚,A型,宮城県,039- 41-3907,080-7652-3839,ドコモ,ぶっかけ・別口派
高沢 徹,たかさわ とおる,takasawa_tohru@example.com,男,28,1991/3/27,未婚,A型,広島県,013-156-1237,080-9029-3113,ツーカー,手前ルー・混ぜ混ぜ派
石本 知世,いしもと ちせ,ishimoto_chise@example.com,女,77,1942/2/20,既婚,B型,北海道,028-975-6256,090-9589-4627,ドコモ,手前ルー・ルー攻め派
河合 寛,かわい ひろし,kawai_hiroshi@example.com,男,35,1984/7/8,既婚,O型,福井県,073-557-3814,080-8997-2911,au,奥ルー・ルー攻め派
田口 人志,たぐち ひとし,taguchi_hitoshi@example.com,男,21,1998/8/12,未婚,B型,宮城県,089-255-9967,080-6957-6840,ドコモ,左ルー・混ぜ混ぜ派
若槻 薫,わかつき かおる,wakatsuki_kaoru@example.com,女,31,1988/8/27,既婚,O型,東京都,018-700-7838,080-6490-1772,ドコモ,ぶっかけ・ルー攻め派
重松 優,しげまつ ゆう,shigematsu_yuu@example.com,女,40,1979/6/15,既婚,A型,大阪府,024-764-1577,080-7664- 326,ドコモ,左ルー・ルー攻め派
西野 京子,にしの きょうこ,nishino_kyouko@example.com,女,53,1966/7/2,既婚,B型,福島県,058-736-2977,090-4032- 777,ドコモ,左ルー・別口派
坂下 精児,さかした せいじ,sakashita_seiji@example.com,男,29,1990/4/4,未婚,O型,宮崎県,071-657-7740,080-5446-   6,au,奥ルー・ルー攻め派
海野 愛子,うみの あいこ,umino_aiko@example.com,女,43,1976/8/3,既婚,A型,北海道,051-348-1759,080-6965-4523,ドコモ,右ルー・せき止め派
高村 知世,たかむら ちせ,takamura_chise@example.com,女,50,1969/4/13,既婚,O型,愛知県,043-679-4861,080-1538-8439,ドコモ,左ルー・せき止め派
坂野 竜也,いたの たつや,itano_tatsuya@example.com,男,62,1957/8/7,既婚,AB型,茨城県,069-376-3086,090-1536-5056,au,手前ルー・せき止め派
高岡 広之,たかおか ひろゆき,takaoka_hiroyuki@example.com,男,78,1941/4/3,既婚,O型,兵庫県,056-448-1924,080-6431- 646,ドコモ,ぶっかけ・混ぜ混ぜ派
おかやま 薫,おかやま かおる,okayama_kaoru@example.com,女,46,1973/3/19,既婚,O型,東京都,087- 12-5057,080-3266-1653,au,左ルー・混ぜ混ぜ派
笠原 しぼり,かさはら しぼり,kasahara_shibori@example.com,女,25,1994/3/26,未婚,AB型,兵庫県,095-109-9562,080-4864-   1,au,右ルー・ナン派
加瀬 友香,かせ ともか,kase_tomoka@example.com,女,44,1975/4/11,既婚,A型,島根県,019-  7-4535,080-5912-6769,ドコモ,左ルー・せき止め派
星 莉沙,ほし りさ,hoshi_risa@example.com,女,40,1980/2/14,既婚,B型,山梨県,085-121-2246,090-3704-3506,ドコモ,別盛り・せき止め派
瀬戸 勇,せと ゆう,seto_yuu@example.com,女,52,1967/9/27,既婚,A型,石川県,056-873-8861,080-7578-9552,ドコモ,左ルー・ルー攻め派
有馬 達士,ありま たつひと,arima_tatsuhito@example.com,男,40,1980/1/17,既婚,A型,愛知県,084- 49-8587,080-9069-8247,ソフトバンク,手前ルー・せき止め派
綾瀬 隼士,あやせ しゅんじ,ayase_shunji@example.com,男,58,1961/5/2,既婚,A型,三重県,038- 19-2055,090-6022-5879,ドコモ,ぶっかけ・混ぜ混ぜ派
川端 貴美子,かわばた きみこ,kawabata_kimiko@example.com,女,30,1989/10/8,既婚,A型,兵庫県,046-145-2770,080-1205-8247,ソフトバンク,左ルー・混ぜ混ぜ派
田辺 和之,たなべ かずゆき,tanabe_kazuyuki@example.com,男,33,1986/10/18,既婚,A型,北海道,027-404-4144,080-9893-7245,ドコモ,ぶっかけ・混ぜ混ぜ派
高崎 陽子,たかさき ようこ,takasaki_youko@example.com,女,40,1979/11/13,既婚,O型,青森県,0 4-437-1060,090-6075-3550,ドコモ,右ルー・混ぜ混ぜ派
清野 憲一,きよの けんいち,kiyono_kenichi@example.com,男,49,1971/1/12,既婚,B型,三重県,044-455-1792,090-3102-1469,ドコモ,ぶっかけ・ルー攻め派
堀田 一輝,ほった かずき,hotta_kazuki@example.com,男,70,1949/3/8,既婚,A型,岐阜県,048-232-6338,080-5949-4996,ドコモ,左ルー・別口派
丸山 拓郎,まるやま たくろう,maruyama_takurou@example.com,男,34,1985/6/8,未婚,A型,奈良県,066-501-5625,080-7840-5170,au,奥ルー・ルー攻め派
村山 禄郎,むらやま ろくろう,murayama_rokurou@example.com,男,30,1989/8/18,既婚,AB型,山形県,0 4-602-3008,090-5621-5622,ドコモ,ぶっかけ・せき止め派
水谷 美菜,みずたに みな,mizutani_mina@example.com,女,31,1988/4/27,未婚,A型,宮城県,0  -979-2114,090-2598-4815,ドコモ,左ルー・混ぜ混ぜ派
車 建,くるま けん,kuruma_ken@example.com,男,71,1948/11/17,既婚,A型,静岡県,069-476-3111,080- 928-9981,ドコモ,ぶっかけ・別口派
武藤 翔,むとう しょう,mutou_shou@example.com,男,62,1957/9/16,既婚,B型,東京都,050-801-1953,090-4361-8503,ドコモ,手前ルー・せき止め派
石原 優一,いしはら ゆういち,ishihara_yuuichi@example.com,男,69,1951/1/17,既婚,AB型,千葉県,038- 85-1922,080-5395-7390,ドコモ,右ルー・ルー攻め派
奥村 優一,おくむら ゆういち,okumura_yuuichi@example.com,男,39,1980/3/17,既婚,O型,北海道,017-295- 473,090-7531-7472,au,右ルー・ルー攻め派
内村 啓介,うちむら けいすけ,uchimura_keisuke@example.com,男,80,1939/8/28,既婚,AB型,福岡県,077-365- 354,090-7580-8444,au,右ルー・ルー攻め派
平山 美優,ひらやま みゅう,hirayama_myuu@example.com,女,61,1959/1/9,既婚,B型,埼玉県,0  -342-7188,080-5572-7633,ドコモ,右ルー・ルー攻め派
前野 恵梨香,まえの えりか,maeno_erika@example.com,女,43,1976/9/21,既婚,AB型,埼玉県,017-355-6184,090-2144-9025,au,右ルー・せき止め派
長島 春樹,ながしま はるき,nagashima_haruki@example.com,女,34,1986/2/6,既婚,O型,福島県,063-640-8319,090-3438-7944,ドコモ,左ルー・ルー攻め派
多部 隼士,たべ しゅんじ,tabe_shunji@example.com,男,68,1951/12/2,既婚,A型,東京都,081-956-5551,090-1492-1178,ドコモ,ぶっかけ・混ぜ混ぜ派
武藤 丈史,むとう たけし,mutou_takeshi@example.com,男,75,1944/5/13,既婚,B型,兵庫県,0 4-726-3852,080-7094-6763,ソフトバンク,ぶっかけ・混ぜ混ぜ派
深井 花緑,ふかい かろく,fukai_karoku@example.com,男,78,1942/1/1,既婚,B型,新潟県,060-967-3995,080-1110-7333,ドコモ,ぶっかけ・ルー攻め派
田中 陽子,たなか ようこ,tanaka_youko@example.com,女,22,1997/3/2,既婚,A型,千葉県,041- 18-5458,080-8995-8454,ソフトバンク,左ルー・ルー攻め派
木田 美優,きだ みゅう,kida_myuu@example.com,女,40,1979/11/8,既婚,A型,東京都,055- 76-8523,080-3165-5138,ドコモ,左ルー・せき止め派
栗山 陽介,くりやま ようすけ,kuriyama_yousuke@example.com,男,28,1991/6/18,既婚,A型,東京都,019-675- 150,090-2382-3476,ドコモ,左ルー・せき止め派
新垣 朝陽,にいがき あさひ,niigaki_asahi@example.com,女,21,1998/8/12,未婚,A型,千葉県,039-984-6684,090- 270-6346,au,左ルー・ルー攻め派
都築 千夏,つづき ちなつ,tsuduki_chinatsu@example.com,女,51,1968/12/12,既婚,A型,兵庫県,041- 63-  64,090-6423-6550,ソフトバンク,右ルー・せき止め派
加瀬 照生,かせ てるお,kase_teruo@example.com,男,56,1963/4/13,既婚,A型,大阪府,046-763-2476,080-7250-7242,ドコモ,右ルー・せき止め派
対馬 あおい,つしま あおい,tsushima_aoi@example.com,女,64,1955/12/4,既婚,B型,長崎県,050- 84-3763,090-8650-5092,au,ぶっかけ・混ぜ混ぜ派
坂田 ひろ子,さかた ひろこ,sakata_hiroko@example.com,女,62,1957/3/13,既婚,O型,大阪府,0 2-547-8818,090-8449- 141,ソフトバンク,左ルー・ルー攻め派
細谷 詩織,ほそや しおり,hosoya_shiori@example.com,女,41,1978/3/6,既婚,A型,兵庫県,095-940-4342,080-5570-2311,ソフトバンク,ぶっかけ・ルー攻め派
高野 賢二,たかの けんじ,takano_kenji@example.com,男,78,1942/1/7,既婚,O型,長野県,090-367-3577,080-6826-3704,ソフトバンク,ぶっかけ・せき止め派
福地 瞳,ふくち ひとみ,fukuchi_hitomi@example.com,女,66,1953/5/26,既婚,A型,山形県,073-370-2242,090-3275-4881,au,手前ルー・ルー攻め派
岩田 優,いわた ゆう,iwata_yuu@example.com,女,47,1973/2/13,既婚,O型,福島県,043-538-1738,080- 956-1612,au,手前ルー・ルー攻め派
石原 美幸,いしはら みゆき,ishihara_miyuki@example.com,女,74,1945/5/3,既婚,AB型,大阪府,052-488-3487,080-1148-9780,au,左ルー・ルー攻め派
福原 大五郎,ふくはら だいごろう,fukuhara_daigorou@example.com,男,18,2001/8/11,未婚,AB型,茨城県,041-121-3506,090-3761-8765,ドコモ,手前ルー・混ぜ混ぜ派
喜多 勝久,きた かつひさ,kita_katsuhisa@example.com,男,38,1981/9/30,既婚,A型,静岡県,083-728-7444,090-7606-3169,ドコモ,右ルー・混ぜ混ぜ派
